name,team,position,signed,extended,age at signing/extension,offseason_of_new_contract,new_contract_AAV,games_played,minutes,pts,fgm,fga,fgperc,3pm,3pa,3pperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,pf,tsperc,usage,bs_rap_o,bs_rap_d,bs_rap_t,onoff_rap_o,onoff_rap_d,onoff_rap_t,ovr_rap_o,ovr_rap_d,ovr_rap_t,rap_war
Cameron Payne,Phoenix Suns,PG,1,0,27,2021,6333333,60,18,8.4,3.2,6.6,48.4,1.2,2.8,44,0.8,0.9,89.3,0.3,2.1,2.4,3.6,1,0.6,0.3,1.6,60.2,19.3,3.3,0.8,4.2,2.5,1.1,3.5,3.3,0.9,4.2,3.8
Mikal Bridges,Phoenix Suns,SF,0,1,25,2021,22725000,72,32.6,13.5,5,9.3,54.3,1.9,4.4,42.5,1.5,1.8,84,1.1,3.2,4.3,2.1,0.8,1.1,0.9,1.6,66.7,14.7,1.3,1.3,2.6,3.7,0.6,4.2,1.9,1.2,3,6.9
Javale McGee,Phoenix Suns,C,1,0,34,2021,5000000,46,14.7,7.3,3.1,6.1,51.1,0.1,0.5,20.8,1,1.5,65.7,1.7,3.5,5.2,0.8,1.3,0.4,1.2,2.6,54.1,22.8,-2.3,0.7,-1.6,-3.3,3.9,0.5,-2.6,1.4,-1.1,0.6
Torrey Craig,Phoenix Suns,SF,1,0,31,2021,5000000,50,16.1,5.5,2.2,4.5,48,0.8,2.1,36.8,0.3,0.4,77.3,1.1,2.8,3.9,1,0.5,0.6,0.5,1.7,57.9,14.1,-0.5,0.3,-0.2,-0.3,-3.9,-4.3,-0.5,-0.6,-1.1,0.7
Landry Shamet,Phoenix Suns,SG,0,1,24,2021,10625000,61,23,9.3,3,7.5,40.8,2.1,5.5,38.7,1.1,1.3,84.6,0.2,1.7,1.8,1.6,0.8,0.5,0.2,1.5,57.8,16.4,-0.4,-0.1,-0.5,-0.8,-1.7,-2.5,-0.6,-0.4,-1,1.2
Elfrid Payton,Phoenix Suns,PG,1,0,27,2021,2239544,63,23.6,10.1,4.3,9.9,43.2,0.4,1.6,28.6,1.2,1.7,68.2,1,2.4,3.4,3.2,1.6,0.7,0.1,1.8,47.8,22.4,-1.8,-0.5,-2.3,-1.5,-4,-5.4,-1.9,-1.3,-3.1,-0.3
Bismack Biyombo,Phoenix Suns,C,1,0,29,2022,2905851,36,14.1,5.8,2.4,4,59.3,0,0,0,1.1,2,53.5,1.8,2.9,4.6,0.6,0.7,0.3,0.7,1.9,59.6,16.7,-2.2,-0.3,-2.6,-0.4,1.8,1.4,-2,0,-2,0.2
Deandre Ayton,Phoenix Suns,C,1,0,23,2022,33232282,58,29.5,17.2,7.6,12,63.4,0.1,0.3,36.8,1.8,2.4,74.6,2.6,7.7,10.2,1.4,1.6,0.7,0.7,2.4,65.6,21.7,-1,1.8,0.8,3,-1.7,1.3,-0.2,1.1,0.9,4
Damian Lillard,Portland Trailblazers,PG,0,1,29,2019,44066288,80,35.5,25.8,8.5,19.2,44.4,3,8,36.9,5.9,6.4,91.2,0.9,3.8,4.6,6.9,2.7,1.1,0.4,1.9,58.8,28.1,7,-1.1,5.8,4.6,2.8,7.4,6.8,-0.4,6.4,13.3
Eric Bledsoe,Portland Trailblazers,PG,0,1,29,2019,17500000,78,29.1,15.9,6,12.4,48.4,1.6,4.8,32.9,2.3,3,75,1.1,3.6,4.6,5.5,2.1,1.5,0.4,2,57.7,22.5,3.1,2.7,5.8,4.1,0,4,3.5,2.2,5.7,9.8
Joe Ingles,Portland Trailblazers,SF,0,1,34,2021,13036364,67,27.9,12.1,4.1,8.4,48.9,2.7,6.1,45.1,1.1,1.3,84.4,0.4,3.2,3.6,4.7,1.7,0.7,0.2,1.8,67.2,16.2,2.4,0.2,2.6,2.3,3,5.3,2.4,0.8,3.2,5.7
Josh Hart,Portland Trailblazers,SF,1,0,26,2021,12640000,47,28.7,9.2,3.2,7.3,43.9,1.3,4.1,32.6,1.5,1.9,77.5,1.1,6.9,8,2.3,1,0.8,0.3,2.4,56.6,13.3,-0.1,1,0.9,1.2,1.1,-0.1,-0.3,1.1,0.8,2.4
